"location","mortalityRate","state","county"
"Autauga County, Alabama",-42.76,"1","001"
"Baldwin County, Alabama",-38.96,"1","003"
"Barbour County, Alabama",-50.52,"1","005"
"Bibb County, Alabama",-31.09,"1","007"
"Blount County, Alabama",-34.94,"1","009"
"Bullock County, Alabama",-46.03,"1","011"
"Butler County, Alabama",-30.49,"1","013"
"Calhoun County, Alabama",-31.55,"1","015"
"Chambers County, Alabama",-32.78,"1","017"
"Cherokee County, Alabama",-44.55,"1","019"
"Chilton County, Alabama",-35.71,"1","021"
"Choctaw County, Alabama",-32.85,"1","023"
"Clarke County, Alabama",-43.25,"1","025"
"Clay County, Alabama",-20.26,"1","027"
"Cleburne County, Alabama",-30.74,"1","029"
"Coffee County, Alabama",-30.67,"1","031"
"Colbert County, Alabama",-40.13,"1","033"
"Conecuh County, Alabama",-34.49,"1","035"
"Coosa County, Alabama",-39.91,"1","037"
"Covington County, Alabama",-37.51,"1","039"
"Crenshaw County, Alabama",-40,"1","041"
"Cullman County, Alabama",-27.34,"1","043"
"Dale County, Alabama",-37.45,"1","045"
"Dallas County, Alabama",-18.03,"1","047"
"DeKalb County, Alabama",-34.38,"1","049"
"Elmore County, Alabama",-50.41,"1","051"
"Escambia County, Alabama",-33.75,"1","053"
"Etowah County, Alabama",-34.41,"1","055"
"Fayette County, Alabama",-31.45,"1","057"
"Franklin County, Alabama",-32.08,"1","059"
"Geneva County, Alabama",-36.02,"1","061"
"Greene County, Alabama",-43.08,"1","063"
"Hale County, Alabama",-38.11,"1","065"
"Henry County, Alabama",-46.24,"1","067"
"Houston County, Alabama",-40.69,"1","069"
"Jackson County, Alabama",-38.24,"1","071"
"Jefferson County, Alabama",-35.81,"1","073"
"Lamar County, Alabama",-39.75,"1","075"
"Lauderdale County, Alabama",-40.04,"1","077"
"Lawrence County, Alabama",-34.02,"1","079"
"Lee County, Alabama",-48.22,"1","081"
"Limestone County, Alabama",-45.33,"1","083"
"Lowndes County, Alabama",-24.75,"1","085"
"Macon County, Alabama",-28.7,"1","087"
"Madison County, Alabama",-56.74,"1","089"
"Marengo County, Alabama",-32.98,"1","091"
"Marion County, Alabama",-20.43,"1","093"
"Marshall County, Alabama",-38.51,"1","095"
"Mobile County, Alabama",-37.93,"1","097"
"Monroe County, Alabama",-31.73,"1","099"
"Montgomery County, Alabama",-49.63,"1","101"
"Morgan County, Alabama",-38.57,"1","103"
"Perry County, Alabama",-11.29,"1","105"
